perturbation,mean_of_run_means,ci_low,ci_high,min_run_mean,max_run_mean,std_across_runs
add_features_output,4.7,4.4805027417287295,4.919497258271271,4.4,4.85,0.17677669529663675
noperturb_output,4.68,4.480752580382554,4.879247419617445,4.45,4.85,0.16046806535881197
shuffle_names_output,4.319999999999999,4.077160232293693,4.562839767706306,4.1,4.55,0.1955760721560796
replace_with_rvs_output,4.26,4.066642972722589,4.453357027277411,4.1,4.45,0.1557241150239745
anonymize_output,4.14,3.7157395642911903,4.564260435708809,3.9499999999999997,4.75,0.3416869912653978
