,coef,p_value,ci_low,ci_high
Intercept,-0.07758110900694068,0.8798157893697145,-1.0832254517153324,0.9280632337014509
sex[T.m],-0.6408395679377694,0.1706356918543256,-1.5575345111468546,0.27585537527131576
help[T.y],-0.7116971426615493,0.27919313953714553,-2.0007253049745186,0.5773310196514199
hammer[T.L],-1.0114215739864465,0.1449116387039614,-2.371298494057302,0.34845534608440887
hammer[T.Q],-0.1793591412806809,0.87523322712561,-2.418240950707698,2.0595226681463363
hammer[T.wood],-0.23572001143498575,0.7317812914565107,-1.5836217550735148,1.1121817322035432
age,0.026869718971430593,0.5860579323465414,-0.06983942044387176,0.12357885838673294
alpha,2.4119252737695653,2.324800505377564e-09,1.620524438350781,3.2033261091883496
